id,label,productCode,durationMinutes,dueMinutes,priority,candidateResourceIds,pinnedResourceId,pinnedStartMinutes,predecessorTaskIds,setupGroup
dem_a500_1225__u01__01_pack,dem_a500_1225 / U01 / 包装,3.10156E+16,180,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1225__u02__01_pack,dem_a500_1225 / U02 / 包装,3.10156E+16,180,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1225__u03__01_pack,dem_a500_1225 / U03 / 包装,3.10156E+16,180,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1225__u04__01_pack,dem_a500_1225 / U04 / 包装,3.10156E+16,180,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u01__01_pack,dem_a500_1227 / U01 / 包装,3.10156E+16,180,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u02__01_pack,dem_a500_1227 / U02 / 包装,3.10156E+16,180,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u03__01_pack,dem_a500_1227 / U03 / 包装,3.10156E+16,180,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u04__01_pack,dem_a500_1227 / U04 / 包装,3.10156E+16,180,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u05__01_pack,dem_a500_1227 / U05 / 包装,3.10156E+16,180,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u06__01_pack,dem_a500_1227 / U06 / 包装,3.10156E+16,180,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u07__01_pack,dem_a500_1227 / U07 / 包装,3.10156E+16,180,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u01__01_pack,dem_a500_1229 / U01 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u02__01_pack,dem_a500_1229 / U02 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u03__01_pack,dem_a500_1229 / U03 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u04__01_pack,dem_a500_1229 / U04 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u05__01_pack,dem_a500_1229 / U05 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u06__01_pack,dem_a500_1229 / U06 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u07__01_pack,dem_a500_1229 / U07 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u08__01_pack,dem_a500_1229 / U08 / 包装,3.10156E+16,180,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a330_1229__u01__01_pack,dem_a330_1229 / U01 / 包装,3.10156E+16,220,7920,3,pack_l1,,,,PKG_330
dem_a330_1229__u02__01_pack,dem_a330_1229 / U02 / 包装,3.10156E+16,220,7920,3,pack_l1,,,,PKG_330
dem_a330_1229__u03__01_pack,dem_a330_1229 / U03 / 包装,3.10156E+16,220,7920,3,pack_l1,,,,PKG_330
dem_10a500_1227__u01__01_pack,dem_10a500_1227 / U01 / 包装,3.10156E+16,150,5040,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_10a500_1229__u01__01_pack,dem_10a500_1229 / U01 / 包装,3.10156E+16,150,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_10a500_1229__u02__01_pack,dem_10a500_1229 / U02 / 包装,3.10156E+16,150,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_10a500_1229__u03__01_pack,dem_10a500_1229 / U03 / 包装,3.10156E+16,150,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_10a500_1229__u04__01_pack,dem_10a500_1229 / U04 / 包装,3.10156E+16,150,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_b600_1227__u01__01_pack,dem_b600_1227 / U01 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1227__u02__01_pack,dem_b600_1227 / U02 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1227__u03__01_pack,dem_b600_1227 / U03 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1227__u04__01_pack,dem_b600_1227 / U04 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1229__u01__01_pack,dem_b600_1229 / U01 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1229__u02__01_pack,dem_b600_1229 / U02 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1229__u03__01_pack,dem_b600_1229 / U03 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1229__u04__01_pack,dem_b600_1229 / U04 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
dem_b600_1229__u05__01_pack,dem_b600_1229 / U05 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1225__u01__01_pack,dem_c600_1225 / U01 / 包装,3.10156E+16,270,2160,4,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1227__u01__01_pack,dem_c600_1227 / U01 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1227__u02__01_pack,dem_c600_1227 / U02 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1227__u03__01_pack,dem_c600_1227 / U03 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1227__u04__01_pack,dem_c600_1227 / U04 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1227__u05__01_pack,dem_c600_1227 / U05 / 包装,3.10156E+16,270,5040,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1229__u01__01_pack,dem_c600_1229 / U01 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1229__u02__01_pack,dem_c600_1229 / U02 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
dem_c600_1229__u03__01_pack,dem_c600_1229 / U03 / 包装,3.10156E+16,270,7920,3,"pack_l2,pack_l3",,,,PKG_600
