itemCode,availableQuantity,availableFromMinutes,safetyStockQuantity
31015630002000000,4,0,0
31015630006000000,7,0,0
31015630003000000,5,0,0
31015630004000000,6,0,0
31015630005000000,4,0,0
BB_A500_LOT,19,0,0
BB_A330_LOT,3,0,0
BB_10A500_LOT,5,0,0
BB_B600_LOT,9,0,0
BB_C600_LOT,11,0,0
CAP_A_LOT,27,0,0
CTN_A1_LOT,19,0,0
LBL_A1_LOT,19,0,0
CTN_A2_LOT,3,2880,0
LBL_A2_LOT,3,2880,0
CTN_A3_LOT,5,2160,0
LBL_A3_LOT,5,2160,0
CAP_B_LOT,9,0,0
CTN_B_LOT,9,0,0
LBL_B_LOT,9,0,0
CAP_C_LOT,11,1440,0
CTN_C_LOT,11,1440,0
LBL_C_LOT,11,1440,0
