demandId,productCode,quantity,dueMinutes,priority,fixedResourceId,fixedStartMinutes,remarks
dem_a500_spot_1224,31015630002000000,2,720,5,,,"12月17日临时订单; +100 KL -> 2 x 50 KL lots"
dem_a500_1225,31015630002000000,6,2160,4,,,"Base order slice; 6 x 50 KL lots"
dem_a500_1227,31015630002000000,7,5040,4,,,"Base order slice; 7 x 50 KL lots"
dem_a500_1229,31015630002000000,8,7920,3,,,"Base order slice; 8 x 50 KL lots"
dem_a330_1225,31015630006000000,3,2160,4,,,"Base order slice; 3 x 43 KL lots"
dem_a330_1227,31015630006000000,3,5040,3,,,"Base order slice; 3 x 43 KL lots"
dem_a330_1229,31015630006000000,4,7920,3,,,"Base order slice; 4 x 43 KL lots"
dem_10a500_1225,31015630003000000,3,2160,4,,,"Base order slice; 3 x 41 KL lots"
dem_10a500_1227,31015630003000000,3,5040,3,,,"Base order slice; 3 x 41 KL lots"
dem_10a500_1229,31015630003000000,4,7920,3,,,"Base order slice; 4 x 41 KL lots"
dem_b600_1225,31015630004000000,5,2160,4,,,"Base order slice; 5 x 100 KL lots"
dem_b600_1227,31015630004000000,5,5040,3,,,"Base order slice; 5 x 100 KL lots"
dem_b600_1229,31015630004000000,5,7920,3,,,"Base order slice; 5 x 100 KL lots"
dem_c600_1225,31015630005000000,5,2160,4,,,"Base order slice; 5 x 100 KL lots"
dem_c600_1227,31015630005000000,5,5040,3,,,"Base order slice; 5 x 100 KL lots"
dem_c600_1229,31015630005000000,5,7920,3,,,"Base order slice; 5 x 100 KL lots"
