id,label,productCode,durationMinutes,dueMinutes,priority,candidateResourceIds,pinnedResourceId,pinnedStartMinutes,predecessorTaskIds,setupGroup
dem_a500_1225__u01__01_prep,dem_a500_1225 / U01 / Line Prep,31015630002000000,30,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1225__u01__02_pack,dem_a500_1225 / U01 / Final Packing,31015630002000000,150,2160,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1225__u01__01_prep,PKG_500
dem_a500_1225__u02__01_prep,dem_a500_1225 / U02 / Line Prep,31015630002000000,30,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1225__u02__02_pack,dem_a500_1225 / U02 / Final Packing,31015630002000000,150,2160,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1225__u02__01_prep,PKG_500
dem_a500_1225__u03__01_prep,dem_a500_1225 / U03 / Line Prep,31015630002000000,30,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1225__u03__02_pack,dem_a500_1225 / U03 / Final Packing,31015630002000000,150,2160,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1225__u03__01_prep,PKG_500
dem_a500_1225__u04__01_prep,dem_a500_1225 / U04 / Line Prep,31015630002000000,30,2160,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1225__u04__02_pack,dem_a500_1225 / U04 / Final Packing,31015630002000000,150,2160,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1225__u04__01_prep,PKG_500
dem_a500_1227__u01__01_prep,dem_a500_1227 / U01 / Line Prep,31015630002000000,30,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u01__02_pack,dem_a500_1227 / U01 / Final Packing,31015630002000000,150,5040,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1227__u01__01_prep,PKG_500
dem_a500_1227__u02__01_prep,dem_a500_1227 / U02 / Line Prep,31015630002000000,30,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u02__02_pack,dem_a500_1227 / U02 / Final Packing,31015630002000000,150,5040,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1227__u02__01_prep,PKG_500
dem_a500_1227__u03__01_prep,dem_a500_1227 / U03 / Line Prep,31015630002000000,30,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u03__02_pack,dem_a500_1227 / U03 / Final Packing,31015630002000000,150,5040,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1227__u03__01_prep,PKG_500
dem_a500_1227__u04__01_prep,dem_a500_1227 / U04 / Line Prep,31015630002000000,30,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u04__02_pack,dem_a500_1227 / U04 / Final Packing,31015630002000000,150,5040,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1227__u04__01_prep,PKG_500
dem_a500_1227__u05__01_prep,dem_a500_1227 / U05 / Line Prep,31015630002000000,30,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u05__02_pack,dem_a500_1227 / U05 / Final Packing,31015630002000000,150,5040,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1227__u05__01_prep,PKG_500
dem_a500_1227__u06__01_prep,dem_a500_1227 / U06 / Line Prep,31015630002000000,30,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u06__02_pack,dem_a500_1227 / U06 / Final Packing,31015630002000000,150,5040,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1227__u06__01_prep,PKG_500
dem_a500_1227__u07__01_prep,dem_a500_1227 / U07 / Line Prep,31015630002000000,30,5040,4,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1227__u07__02_pack,dem_a500_1227 / U07 / Final Packing,31015630002000000,150,5040,4,"pack_l1,pack_l2,pack_l3",,,dem_a500_1227__u07__01_prep,PKG_500
dem_a500_1229__u01__01_prep,dem_a500_1229 / U01 / Line Prep,31015630002000000,30,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u01__02_pack,dem_a500_1229 / U01 / Final Packing,31015630002000000,150,7920,3,"pack_l1,pack_l2,pack_l3",,,dem_a500_1229__u01__01_prep,PKG_500
dem_a500_1229__u02__01_prep,dem_a500_1229 / U02 / Line Prep,31015630002000000,30,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u02__02_pack,dem_a500_1229 / U02 / Final Packing,31015630002000000,150,7920,3,"pack_l1,pack_l2,pack_l3",,,dem_a500_1229__u02__01_prep,PKG_500
dem_a500_1229__u03__01_prep,dem_a500_1229 / U03 / Line Prep,31015630002000000,30,7920,3,"pack_l1,pack_l2,pack_l3",,,,PKG_500
dem_a500_1229__u03__02_pack,dem_a500_1229 / U03 / Final Packing,31015630002000000,150,7920,3,"pack_l1,pack_l2,pack_l3",,,dem_a500_1229__u03__01_prep,PKG_500
